CSVFile,InputData,Kernel,Data,DataID,DRAM Frequency,SM Frequency,Elapsed Cycles,Memory [%],SOL DRAM,Duration,SOL L1/TEX Cache,SOL L2 Cache,SM Active Cycles,SM [%],Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Driver Shared Memory Per Block,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Theoretical Active Warps per SM,Theoretical Occupancy,Achieved Occupancy,Achieved Active Warps Per SM,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
rodinia_3.1_cuda_lud_labelled-lassen.csv,3072,lud_diagonal,m,0,801857445.6038233,1199540880.216765,18073.470588235294,0.1,0.01,15065.411764705885,9.399705882352944,0.05,187.7323529411765,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200062400000,37748736,108,20,36864.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3072,lud_internal,m,0,871746519.3354548,1296517505.3172731,181038.42424242423,65.61454545454545,47.95878787878788,139480.24242424243,67.2169696969697,34.803939393939395,176565.96606060606,50.33181818181818,256.0,30366.66666666667,30.0,16384.0,0.0,0.0,2048.0,7773866.666666668,47.44878787878787,32.0,8.0,48.0,8.0,64.0,100.0,91.01575757575756,58.2509090909091,1,0x200060000000,0x200062400000,37748736,108,20,36864.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3072,lud_perimeter,m,0,479918812.61242414,715054084.6051514,8054.333333333332,9.153939393939394,6.466060606060606,11261.090909090908,16.879090909090905,5.009393939393941,4365.979090909092,7.488787878787875,32.0,174.0,81.0,65536.0,0.0,0.0,3072.0,5568.0,0.1087878787878788,32.0,20.0,32.0,64.0,20.0,31.25,3.3257575757575752,2.1284848484848484,1,0x200060000000,0x200062400000,37748736,108,20,36864.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3328,lud_diagonal,m,0,803800393.4091178,1202236927.6814704,18093.676470588234,0.1,0.01,15048.470588235294,9.395294117647056,0.05,187.78941176470585,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200062a40000,44302336,129,13,43264.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3328,lud_internal,m,0,875313069.0909091,1302043978.696061,215549.06060606055,65.67909090909093,48.35212121212121,165397.33333333337,67.02181818181819,34.33030303030304,211108.82212121208,50.3790909090909,256.0,36190.66666666666,30.0,16384.0,0.0,0.0,2048.0,9264810.666666666,56.54878787878788,32.0,8.0,48.0,8.0,64.0,100.0,91.20060606060608,58.36787878787879,1,0x200060000000,0x200062a40000,44302336,129,13,43264.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3328,lud_perimeter,m,0,491718710.6927272,731752668.7272727,8223.212121212122,9.806060606060605,6.903030303030302,11234.909090909092,17.705757575757573,5.306666666666667,4550.622727272726,8.006060606060604,32.0,190.0,81.0,65536.0,0.0,0.0,3072.0,6080.0,0.1184848484848484,32.0,20.0,32.0,64.0,20.0,31.25,3.601515151515152,2.305757575757576,1,0x200060000000,0x200062a40000,44302336,129,13,43264.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3584,lud_diagonal,m,0,801276630.2514707,1198663350.0976472,18048.058823529413,0.1,0.01,15055.05882352941,9.377352941176474,0.05,188.1620588235294,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200063100000,51380224,149,22,50176.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3584,lud_internal,m,0,872519190.7809091,1298173012.751819,253256.30303030304,65.67878787878787,48.62575757575758,194919.75757575757,66.81090909090908,34.079090909090915,248776.57757575755,50.38242424242424,256.0,42526.66666666666,30.0,16384.0,0.0,0.0,2048.0,10886826.666666666,66.44848484848487,32.0,8.0,48.0,8.0,64.0,100.0,91.34060606060604,58.45787878787881,1,0x200060000000,0x200063100000,51380224,149,22,50176.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3584,lud_perimeter,m,0,487014692.65090907,724730826.0493939,8119.333333333332,10.783939393939397,7.576969696969697,11199.030303030306,19.69363636363636,5.782727272727272,4444.276666666667,8.789696969696971,32.0,206.0,81.0,65536.0,0.0,0.0,3072.0,6592.0,0.1287878787878787,32.0,20.0,32.0,64.0,20.0,31.25,3.880909090909092,2.4833333333333325,1,0x200060000000,0x200063100000,51380224,149,22,50176.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3840,lud_diagonal,m,0,803842939.1552941,1202344697.561765,18096.529411764703,0.1,0.01,15049.411764705885,9.377058823529415,0.05,188.16205882352943,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200063840000,58982400,171,23,57600.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3840,lud_internal,m,0,875547511.7551514,1303040210.1906064,293467.7878787879,65.81121212121212,48.93363636363637,225088.0,66.7178787878788,34.57060606060607,289315.7848484849,50.4748484848485,256.0,49374.66666666666,30.0,16384.0,0.0,0.0,2048.0,12639914.666666664,77.14848484848483,32.0,8.0,48.0,8.0,64.0,100.0,91.4157575757576,58.5060606060606,1,0x200060000000,0x200063840000,58982400,171,23,57600.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,3840,lud_perimeter,m,0,485588461.0372727,722348444.0996969,8172.727272727273,11.556060606060608,8.10848484848485,11310.545454545454,21.002424242424247,6.1490909090909085,4494.409393939394,9.411515151515152,32.0,222.0,81.0,65536.0,0.0,0.0,3072.0,7104.0,0.1387878787878788,32.0,20.0,32.0,64.0,20.0,31.25,4.157575757575757,2.65939393939394,1,0x200060000000,0x200063840000,58982400,171,23,57600.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,4096,lud_diagonal,m,0,805401771.1832349,1204402616.6779408,18097.029411764703,0.1,0.0105882352941176,15024.0,9.386176470588236,0.05,187.98882352941172,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200064000000,67108864,192,19,65536.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,4096,lud_internal,m,0,873915124.0584849,1301543689.3384848,331160.8787878788,67.12545454545452,50.05363636363637,254307.8787878788,68.08333333333331,37.5469696969697,326326.2845454545,51.42151515151514,256.0,56734.66666666666,30.0,16384.0,0.0,0.0,2048.0,14524074.666666664,88.64878787878789,32.0,8.0,48.0,8.0,64.0,100.0,91.70666666666668,58.69242424242426,1,0x200060000000,0x200064000000,67108864,192,19,65536.0,0.0,0.0,1
rodinia_3.1_cuda_lud_labelled-lassen.csv,4096,lud_perimeter,m,0,476330647.66757566,707743706.4290907,7890.0,12.842424242424244,8.993333333333332,11142.787878787878,24.08727272727273,6.787575757575756,4203.784848484849,10.452727272727271,32.0,238.0,81.0,65536.0,0.0,0.0,3072.0,7616.0,0.1484848484848484,32.0,20.0,32.0,64.0,20.0,31.25,4.446363636363637,2.845757575757576,1,0x200060000000,0x200064000000,67108864,192,19,65536.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,4352,lud_diagonal,m,0,803280308.6620588,1201720089.33,18066.647058823528,0.1,0.01,15032.470588235294,9.390882352941176,0.05,187.870294117647,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200064840000,75759616,219,21,73984.0,0.0,0.0,0
